zero_index,t_value,rank,prime_p,prime_q,impact_score,phase_cos,pair_str
91,220.714918839314,2,3,11,-0.038324544903975626,-0.6323549909155978,"(3, 11)"
91,220.714918839314,3,5,13,-0.02823229212843081,-0.9175494941740013,"(5, 13)"
91,220.714918839314,4,3,23,-0.027491375042020556,-0.9484524389497091,"(3, 23)"
91,220.714918839314,5,2,37,-0.027014072002980814,-0.9995206641102901,"(2, 37)"
92,221.43070555469333,1,2,3,-0.0815098032013672,-0.24452940960410163,"(2, 3)"
92,221.43070555469333,2,2,5,-0.051836772866209926,-0.2591838643310496,"(2, 5)"
92,221.43070555469333,3,2,17,-0.05150558652543952,-0.8755949709324718,"(2, 17)"
92,221.43070555469333,4,2,19,-0.028077277853425384,-0.5334682792150823,"(2, 19)"
92,221.43070555469333,5,2,31,-0.02700459866831783,-0.8371425587178527,"(2, 31)"
93,224.00700025460432,1,2,3,-0.3204286771214938,-0.9612860313644814,"(2, 3)"
93,224.00700025460432,2,2,5,-0.09916431032780039,-0.49582155163900193,"(2, 5)"
93,224.00700025460432,3,2,7,-0.07404358831156581,-0.5183051181809607,"(2, 7)"
93,224.00700025460432,4,3,11,-0.02642501390970098,-0.43601272951006614,"(3, 11)"
93,224.00700025460432,5,3,23,-0.021309339634112155,-0.7351722173768693,"(3, 23)"
94,224.9833246695823,1,2,3,-0.3310660502844552,-0.9931981508533656,"(2, 3)"
94,224.9833246695823,2,3,11,-0.05993554800205559,-0.9889365420339172,"(3, 11)"
94,224.9833246695823,3,3,13,-0.05125213319097249,-0.9994165972239636,"(3, 13)"
94,224.9833246695823,4,3,7,-0.05071288797048786,-0.5324853236901226,"(3, 7)"
94,224.9833246695823,5,2,23,-0.04164585062541273,-0.9578545643844928,"(2, 23)"
95,227.4214442796793,1,2,3,-0.14963000701783397,-0.4488900210535019,"(2, 3)"
95,227.4214442796793,2,3,5,-0.13304103870633213,-0.997807790297491,"(3, 5)"
95,227.4214442796793,3,2,7,-0.07960219127094185,-0.557215338896593,"(2, 7)"
95,227.4214442796793,4,2,17,-0.05699596075917493,-0.9689313329059738,"(2, 17)"
95,227.4214442796793,5,2,19,-0.05242990418888976,-0.9961681795889055,"(2, 19)"
96,229.33741330552536,1,2,5,-0.18808205351923463,-0.9404102675961731,"(2, 5)"
96,229.33741330552536,2,3,5,-0.08156944639882363,-0.6117708479911772,"(3, 5)"
96,229.33741330552536,3,3,11,-0.05383810959744807,-0.8883288083578932,"(3, 11)"
96,229.33741330552536,4,3,13,-0.050811742908309504,-0.9908289867120353,"(3, 13)"
96,229.33741330552536,5,2,13,-0.033242080186563314,-0.43214704242532304,"(2, 13)"
97,231.25018870049917,1,5,7,-0.04256050057685227,-0.7448087600949147,"(5, 7)"
97,231.25018870049917,2,2,5,-0.03287008922959727,-0.16435044614798633,"(2, 5)"
97,231.25018870049917,3,2,29,-0.030321230318774997,-0.879315679244475,"(2, 29)"
97,231.25018870049917,4,3,29,-0.022986716649436315,-0.9999221742504797,"(3, 29)"
97,231.25018870049917,5,2,37,-0.020542210385646853,-0.7600617842689336,"(2, 37)"
98,231.98723525318024,1,5,7,-0.050617907274631134,-0.8858133773060449,"(5, 7)"
98,231.98723525318024,2,2,41,-0.024200378073473833,-0.9922155010124272,"(2, 41)"
98,231.98723525318024,3,3,7,-0.020109140358122717,-0.21114597376028854,"(3, 7)"
98,231.98723525318024,4,2,47,-0.019656913397309787,-0.92387492967356,"(2, 47)"
98,231.98723525318024,5,3,41,-0.01548555963081012,-0.9523619172948223,"(3, 41)"
99,233.6934041789083,1,2,7,-0.11836087426652815,-0.8285261198656971,"(2, 7)"
99,233.6934041789083,2,3,7,-0.09487304358884513,-0.9961669576828739,"(3, 7)"
99,233.6934041789083,3,2,11,-0.07534314496054634,-0.8287745945660097,"(2, 11)"
99,233.6934041789083,4,5,7,-0.056903680822315644,-0.9958144143905238,"(5, 7)"
99,233.6934041789083,5,2,13,-0.056469866679822185,-0.7341082668376884,"(2, 13)"
100,236.5242296658162,1,2,5,-0.19979813120619716,-0.9989906560309858,"(2, 5)"
100,236.5242296658162,2,2,13,-0.07475479524966637,-0.9718123382456628,"(2, 13)"
100,236.5242296658162,3,2,17,-0.054603658130406844,-0.9282621882169164,"(2, 17)"
100,236.5242296658162,4,3,19,-0.034917148929891,-0.9951387445018935,"(3, 19)"
100,236.5242296658162,5,5,7,-0.02872852065821735,-0.5027491115188036,"(5, 7)"
101,237.7698204809252,1,2,3,-0.18511840132943924,-0.5553552039883177,"(2, 3)"
101,237.7698204809252,2,2,7,-0.11933188126346835,-0.8353231688442785,"(2, 7)"
101,237.7698204809252,3,2,5,-0.09136213179978105,-0.4568106589989052,"(2, 5)"
101,237.7698204809252,4,2,11,-0.090672275772741,-0.997395033500151,"(2, 11)"
101,237.7698204809252,5,3,5,-0.06481079880774815,-0.48608099105811114,"(3, 5)"
102,239.55547757332764,1,2,3,-0.3223020409131504,-0.9669061227394512,"(2, 3)"
